name,retinue,weapon,shield,armor,ranged,tiltyard,size,tags,playstyle,wins,losses,mut_wipe,indecisive,n_battles,win_rate,loss_rate,decisive_rate,decisive_win_rate,avg_self_survivors,avg_opp_survivors,kill_efficiency,upkeep_per_retinue,army_upkeep,wins_per_1000_upkeep,military_pursuit_count,domain_count,pursuits
"Lev/Daggers/Leather [Poison, Unshakable, Rend]",Levy,Daggers,,Leather,,False,50,"Poison,Rend,Unshakable",Random,47,55609,20735,759,77150,0.0006,0.7208,0.9902,0.0008,0.41,23.01,-22.60,600,30000,1.57,7,25,Animal Husbandry|Furnace|MWRend|Preceptory|Tannery|Toxicarium
"Lev/ShortSword/Kite/Leather [Poison, Unshakable, Rend]",Levy,Short Sword,Kite Shield,Leather,,False,50,"Poison,Rend,Unshakable",Random,43,55540,20815,752,77150,0.0006,0.7199,0.9903,0.0008,0.41,24.64,-24.23,400,20000,2.15,9,25,Animal Husbandry|Carpentry|Furnace|Joinery|MWRend|Preceptory|Tannery|Toxicarium
"Lev/Spears/Kite/Leather [Poison, Unshakable, Rend]",Levy,Spears,Kite Shield,Leather,,False,50,"Poison,Rend,Unshakable",Random,62,55572,20767,749,77150,0.0008,0.7203,0.9903,0.0011,0.42,21.53,-21.11,400,20000,3.10,9,25,Animal Husbandry|Carpentry|Furnace|Joinery|MWRend|Preceptory|Tannery|Toxicarium
"Lev/Longbow/Leather [Poison, Unshakable, Rend]",Levy,,,Leather,Longbow,False,50,"Poison,Rend,Unshakable",Random,3853,53081,19469,747,77150,0.0499,0.6880,0.9903,0.0677,1.89,12.71,-10.83,400,20000,192.65,9,25,Animal Husbandry|Carpentry|Fletchery|Furnace|MWRend|Preceptory|Tannery|Toxicarium
"Lev/Daggers/Cloth [ApoHeal, Regen 5, Reroll, Unshakable]",Levy,Daggers,,Cloth,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Unshakable",Random,15,55382,21019,734,77150,0.0002,0.7178,0.9905,0.0003,0.44,21.76,-21.32,800,40000,0.38,5,16,Apothecary|Furnace|Hospitaller|Infirmary|Levy Hall|Preceptory
"Lev/Longbow/Cloth [ApoHeal, Regen 5, Reroll, Unshakable]",Levy,,,Cloth,Longbow,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Unshakable",Random,3974,52566,19856,754,77150,0.0515,0.6813,0.9902,0.0703,2.45,12.13,-9.68,800,40000,99.35,6,16,Apothecary|Carpentry|Fletchery|Furnace|Hospitaller|Infirmary|Preceptory
"Lev/Daggers/Cloth [Outr:once, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Daggers,,Cloth,,False,50,"Apothecary Heal,Outrider: once,Regenerate 5,Regenerate Reroll,Unshakable",Random,18,45117,8729,936,54800,0.0003,0.8233,0.9829,0.0004,0.87,25.50,-24.63,1000,50000,0.36,7,26,Apothecary|Caravanery|Cipher Chamber|Furnace|Hospitaller|Infirmary|Outrider Intercept Post|Preceptory
"Lev/Longbow/Cloth [Outr:once, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,,,Cloth,Longbow,False,50,"Apothecary Heal,Outrider: once,Regenerate 5,Regenerate Reroll,Unshakable",Random,2625,41844,9409,922,54800,0.0479,0.7636,0.9832,0.0590,2.74,14.22,-11.48,800,40000,65.62,9,26,Apothecary|Caravanery|Carpentry|Cipher Chamber|Fletchery|Furnace|Hospitaller|Infirmary|Outrider Intercept Post|Preceptory
"Lev/Daggers/Cloth [Outr:every, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Daggers,,Cloth,,False,50,"Apothecary Heal,Outrider: every,Regenerate 5,Regenerate Reroll,Unshakable",Random,67,42070,8115,4548,54800,0.0012,0.7677,0.9170,0.0016,3.46,24.93,-21.47,1000,50000,1.34,9,26,Apothecary|Caravanery|Cipher Chamber|Furnace|Hospitaller|Infirmary|Outrider Intercept Post|Outrider Mastery|Preceptory
"Lev/Daggers/Cloth [ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,Daggers,,Cloth,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,15,55393,21008,734,77150,0.0002,0.7180,0.9905,0.0003,0.43,21.10,-20.68,800,40000,0.38,5,22,Apothecary|Furnace|Hospitaller|Infirmary|MWRend|Preceptory
"Lev/Longbow/Cloth [ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,,,Cloth,Longbow,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,4019,52579,19844,708,77150,0.0521,0.6815,0.9908,0.0710,2.45,10.88,-8.42,600,30000,133.97,7,22,Apothecary|Carpentry|Fletchery|Furnace|Hospitaller|Infirmary|MWRend|Preceptory
"Lev/Daggers/Leather [ApoHeal, Regen 5, Reroll, Unshakable]",Levy,Daggers,,Leather,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Unshakable",Random,15,55379,21003,753,77150,0.0002,0.7178,0.9902,0.0003,0.44,21.72,-21.28,800,40000,0.38,6,16,Animal Husbandry|Apothecary|Furnace|Hospitaller|Infirmary|Preceptory|Tannery
"Lev/ShortSword/Kite/Leather [ApoHeal, Regen 5, Reroll, Unshakable]",Levy,Short Sword,Kite Shield,Leather,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Unshakable",Random,27,55331,21028,764,77150,0.0003,0.7172,0.9901,0.0005,0.46,25.31,-24.85,600,30000,0.90,8,19,Animal Husbandry|Apothecary|Carpentry|Furnace|Hospitaller|Infirmary|Joinery|Preceptory|Tannery
"Lev/Spears/Kite/Leather [ApoHeal, Regen 5, Reroll, Unshakable]",Levy,Spears,Kite Shield,Leather,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Unshakable",Random,42,55351,20980,777,77150,0.0005,0.7174,0.9899,0.0008,0.48,20.79,-20.31,600,30000,1.40,8,19,Animal Husbandry|Apothecary|Carpentry|Furnace|Hospitaller|Infirmary|Joinery|Preceptory|Tannery
"Lev/Longbow/Leather [ApoHeal, Regen 5, Reroll, Unshakable]",Levy,,,Leather,Longbow,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Unshakable",Random,3935,52487,19899,829,77150,0.0510,0.6803,0.9893,0.0697,2.49,12.15,-9.65,600,30000,131.17,8,16,Animal Husbandry|Apothecary|Carpentry|Fletchery|Furnace|Hospitaller|Infirmary|Preceptory|Tannery
"MaA/Daggers+Longbow/Leather (TY) [Cond+1, ApoHeal, Unshakable, ImmU, Regen 5, Reroll]",Man-at-Arms,Daggers,,Leather,Longbow,True,50,"Apothecary Heal,Cond Field,Immune Unwieldy,Regenerate 5,Regenerate Reroll,Unshakable",Random,44097,3598,28664,791,77150,0.5716,0.0466,0.9897,0.9246,18.12,0.89,17.23,1600,80000,551.21,10,16,Animal Husbandry|Apothecary|Carpentry|Coliseum|Fletchery|Furnace|Hospitaller|Infirmary|Preceptory|Tannery|Tiltyard
"Lev/Daggers/Leather [Outr:once, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Daggers,,Leather,,False,50,"Apothecary Heal,Outrider: once,Regenerate 5,Regenerate Reroll,Unshakable",Random,13,45136,8759,892,54800,0.0002,0.8236,0.9837,0.0003,0.82,25.43,-24.60,800,40000,0.33,9,26,Animal Husbandry|Apothecary|Caravanery|Cipher Chamber|Furnace|Hospitaller|Infirmary|Outrider Intercept Post|Preceptory|Tannery
"Lev/Daggers/Leather [ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,Daggers,,Leather,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,13,55358,21037,742,77150,0.0002,0.7175,0.9904,0.0002,0.43,21.12,-20.69,600,30000,0.43,7,22,Animal Husbandry|Apothecary|Furnace|Hospitaller|Infirmary|MWRend|Preceptory|Tannery
"Lev/ShortSword/Kite/Leather [ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,Short Sword,Kite Shield,Leather,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,28,55368,20944,810,77150,0.0004,0.7177,0.9895,0.0005,0.49,24.89,-24.41,400,20000,1.40,9,22,Animal Husbandry|Apothecary|Carpentry|Furnace|Hospitaller|Infirmary|Joinery|MWRend|Preceptory|Tannery
"Lev/Spears/Kite/Leather [ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,Spears,Kite Shield,Leather,,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,33,55360,20964,793,77150,0.0004,0.7176,0.9897,0.0006,0.48,20.06,-19.58,400,20000,1.65,9,22,Animal Husbandry|Apothecary|Carpentry|Furnace|Hospitaller|Infirmary|Joinery|MWRend|Preceptory|Tannery
"Lev/Longbow/Leather [ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,,,Leather,Longbow,False,50,"Apothecary Heal,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,4029,52516,19877,728,77150,0.0522,0.6807,0.9906,0.0713,2.49,10.87,-8.38,400,20000,201.45,9,22,Animal Husbandry|Apothecary|Carpentry|Fletchery|Furnace|Hospitaller|Infirmary|MWRend|Preceptory|Tannery
"Lev/Daggers/Cloth [Poison, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Daggers,,Cloth,,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Unshakable",Random,40,55369,21013,728,77150,0.0005,0.7177,0.9906,0.0007,0.44,20.79,-20.35,1000,50000,0.80,6,19,Apothecary|Furnace|Hospitaller|Infirmary|Preceptory|Toxicarium
"Lev/Longbow/Cloth [Poison, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,,,Cloth,Longbow,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Unshakable",Random,4226,51727,20451,746,77150,0.0548,0.6705,0.9903,0.0755,2.58,11.42,-8.83,800,40000,105.65,8,19,Apothecary|Carpentry|Fletchery|Furnace|Hospitaller|Infirmary|Preceptory|Toxicarium
"Lev/Daggers/Cloth [Poison, Outr:once, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Daggers,,Cloth,,False,50,"Apothecary Heal,Outrider: once,Poison,Regenerate 5,Regenerate Reroll,Unshakable",Random,32,45108,8726,934,54800,0.0006,0.8231,0.9830,0.0007,0.87,24.30,-23.42,1000,50000,0.64,9,26,Apothecary|Caravanery|Cipher Chamber|Furnace|Hospitaller|Infirmary|Outrider Intercept Post|Preceptory|Toxicarium
"Lev/Daggers/Cloth [Poison, ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,Daggers,,Cloth,,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,41,55381,21009,719,77150,0.0005,0.7178,0.9907,0.0007,0.44,20.16,-19.73,800,40000,1.02,7,25,Apothecary|Furnace|Hospitaller|Infirmary|MWRend|Preceptory|Toxicarium
"Lev/Longbow/Cloth [Poison, ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,,,Cloth,Longbow,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,4152,51742,20486,770,77150,0.0538,0.6707,0.9900,0.0743,2.56,10.19,-7.64,600,30000,138.40,9,25,Apothecary|Carpentry|Fletchery|Furnace|Hospitaller|Infirmary|MWRend|Preceptory|Toxicarium
"Lev/Daggers/Leather [Poison, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Daggers,,Leather,,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Unshakable",Random,38,55373,21000,739,77150,0.0005,0.7177,0.9904,0.0007,0.45,20.82,-20.37,800,40000,0.95,8,19,Animal Husbandry|Apothecary|Furnace|Hospitaller|Infirmary|Preceptory|Tannery|Toxicarium
"Lev/ShortSword/Kite/Leather [Poison, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Short Sword,Kite Shield,Leather,,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Unshakable",Random,61,55340,21001,748,77150,0.0008,0.7173,0.9903,0.0011,0.47,23.02,-22.55,600,30000,2.03,10,22,Animal Husbandry|Apothecary|Carpentry|Furnace|Hospitaller|Infirmary|Joinery|Preceptory|Tannery|Toxicarium
"Lev/Spears/Kite/Leather [Poison, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,Spears,Kite Shield,Leather,,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Unshakable",Random,72,55357,20974,747,77150,0.0009,0.7175,0.9903,0.0013,0.48,19.85,-19.37,600,30000,2.40,10,22,Animal Husbandry|Apothecary|Carpentry|Furnace|Hospitaller|Infirmary|Joinery|Preceptory|Tannery|Toxicarium
"Lev/Longbow/Leather [Poison, ApoHeal, Unshakable, Regen 5, Reroll]",Levy,,,Leather,Longbow,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Unshakable",Random,4085,51754,20570,741,77150,0.0529,0.6708,0.9904,0.0732,2.53,11.44,-8.91,600,30000,136.17,10,19,Animal Husbandry|Apothecary|Carpentry|Fletchery|Furnace|Hospitaller|Infirmary|Preceptory|Tannery|Toxicarium
"Lev/Daggers/Leather [Poison, ApoHeal, Unshakable, Rend, Regen 5, Reroll]",Levy,Daggers,,Leather,,False,50,"Apothecary Heal,Poison,Regenerate 5,Regenerate Reroll,Rend,Unshakable",Random,32,55337,20984,797,77150,0.0004,0.7173,0.9897,0.0006,0.48,20.16,-19.68,600,30000,1.07,9,25,Animal Husbandry|Apothecary|Furnace|Hospitaller|Infirmary|MWRend|Preceptory|Tannery|Toxicarium
MaA/Daggers/Leather [Cond+1],Man-at-Arms,Daggers,,Leather,,False,50,Cond Field,Random,38128,64460,15979,883,119450,0.3192,0.5396,0.9926,0.3717,5.96,16.88,-10.92,1600,80000,476.60,5,3,Animal Husbandry|Coliseum|Furnace|Levy Hall|Tannery
MaA/ShortSword/Kite/Leather [Cond+1],Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,Cond Field,Random,38771,60597,19179,903,119450,0.3246,0.5073,0.9924,0.3902,6.73,17.04,-10.31,1600,80000,484.64,6,6,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|Tannery
MaA/Spears/Kite/Leather [Cond+1],Man-at-Arms,Spears,Kite Shield,Leather,,False,50,Cond Field,Random,40701,58260,19637,852,119450,0.3407,0.4877,0.9929,0.4113,7.07,13.66,-6.59,1600,80000,508.76,6,6,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|Tannery
MaA/Longbow/Leather [Cond+1],Man-at-Arms,,,Leather,Longbow,False,50,Cond Field,Random,77324,31390,9929,807,119450,0.6473,0.2628,0.9932,0.7113,15.22,6.14,9.08,1600,80000,966.55,6,3,Animal Husbandry|Carpentry|Coliseum|Fletchery|Furnace|Tannery
"MaA/Daggers/Leather [Outr:once, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Outrider: once",Random,22940,54862,14644,1604,94050,0.2439,0.5833,0.9829,0.2949,5.40,18.54,-13.13,1800,90000,254.89,7,13,Animal Husbandry|Caravanery|Cipher Chamber|Coliseum|Furnace|Outrider Intercept Post|Tannery
"MaA/ShortSword/Kite/Leather [Outr:once, Cond+1]",Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,"Cond Field,Outrider: once",Random,23622,51613,17248,1567,94050,0.2512,0.5488,0.9833,0.3140,5.87,18.76,-12.89,1600,80000,295.27,9,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Coliseum|Furnace|Joinery|Outrider Intercept Post|Tannery
"MaA/Spears/Kite/Leather [Outr:once, Cond+1]",Man-at-Arms,Spears,Kite Shield,Leather,,False,50,"Cond Field,Outrider: once",Random,25571,49316,17631,1532,94050,0.2719,0.5244,0.9837,0.3415,6.24,14.95,-8.71,1600,80000,319.64,9,16,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Coliseum|Furnace|Joinery|Outrider Intercept Post|Tannery
"MaA/Longbow/Leather [Outr:once, Cond+1]",Man-at-Arms,,,Leather,Longbow,False,50,"Cond Field,Outrider: once",Random,58920,24787,8832,1511,94050,0.6265,0.2636,0.9839,0.7039,15.98,6.85,9.13,1600,80000,736.50,9,13,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Coliseum|Fletchery|Furnace|Outrider Intercept Post|Tannery
"MaA/Daggers/Leather [Outr:every, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Outrider: every",Random,24892,44690,16274,8194,94050,0.2647,0.4752,0.9129,0.3577,8.01,16.94,-8.92,1800,90000,276.58,9,13,Animal Husbandry|Caravanery|Cipher Chamber|Coliseum|Furnace|Outrider Intercept Post|Outrider Mastery|Tannery
"MaA/Daggers/Leather [Rend, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Rend",Random,38163,64342,16092,853,119450,0.3195,0.5387,0.9929,0.3723,6.00,16.29,-10.29,1600,80000,477.04,5,9,Animal Husbandry|Coliseum|Furnace|MWRend|Tannery
"MaA/ShortSword/Kite/Leather [Rend, Cond+1]",Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,"Cond Field,Rend",Random,38854,60487,19253,856,119450,0.3253,0.5064,0.9928,0.3911,6.78,16.56,-9.78,1400,70000,555.06,7,9,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|MWRend|Tannery
"MaA/Spears/Kite/Leather [Rend, Cond+1]",Man-at-Arms,Spears,Kite Shield,Leather,,False,50,"Cond Field,Rend",Random,40614,58152,19743,941,119450,0.3400,0.4868,0.9921,0.4112,7.14,13.07,-5.93,1400,70000,580.20,7,9,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|MWRend|Tannery
"MaA/Longbow/Leather [Rend, Cond+1]",Man-at-Arms,,,Leather,Longbow,False,50,"Cond Field,Rend",Random,78849,29163,10572,866,119450,0.6601,0.2441,0.9928,0.7300,15.67,4.80,10.86,1400,70000,1126.41,7,9,Animal Husbandry|Carpentry|Coliseum|Fletchery|Furnace|MWRend|Tannery
"MaA/Daggers/Leather [Outr:once, Rend, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Outrider: once,Rend",Random,23106,54963,14428,1553,94050,0.2457,0.5844,0.9835,0.2960,5.44,17.93,-12.49,1600,80000,288.82,8,19,Animal Husbandry|Caravanery|Cipher Chamber|Coliseum|Furnace|MWRend|Outrider Intercept Post|Tannery
"MaA/ShortSword/Kite/Leather [Outr:once, Rend, Cond+1]",Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,"Cond Field,Outrider: once,Rend",Random,23640,51453,17355,1602,94050,0.2514,0.5471,0.9830,0.3148,5.93,18.19,-12.26,1400,70000,337.71,10,19,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Coliseum|Furnace|Joinery|MWRend|Outrider Intercept Post|Tannery
"MaA/Spears/Kite/Leather [Outr:once, Rend, Cond+1]",Man-at-Arms,Spears,Kite Shield,Leather,,False,50,"Cond Field,Outrider: once,Rend",Random,25741,49098,17607,1604,94050,0.2737,0.5220,0.9829,0.3440,6.35,14.21,-7.86,1400,70000,367.73,10,19,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Coliseum|Furnace|Joinery|MWRend|Outrider Intercept Post|Tannery
"MaA/Longbow/Leather [Outr:once, Rend, Cond+1]",Man-at-Arms,,,Leather,Longbow,False,50,"Cond Field,Outrider: once,Rend",Random,60575,22387,9504,1584,94050,0.6441,0.2380,0.9832,0.7302,16.50,5.23,11.27,1400,70000,865.36,10,19,Animal Husbandry|Caravanery|Carpentry|Cipher Chamber|Coliseum|Fletchery|Furnace|MWRend|Outrider Intercept Post|Tannery
"MaA/Daggers/Leather [Rend, Outr:every, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Outrider: every,Rend",Random,24922,44947,15998,8183,94050,0.2650,0.4779,0.9130,0.3567,8.08,16.36,-8.28,1600,80000,311.52,10,19,Animal Husbandry|Caravanery|Cipher Chamber|Coliseum|Furnace|MWRend|Outrider Intercept Post|Outrider Mastery|Tannery
"MaA/Daggers/Leather [Poison, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Poison",Random,39803,62557,16190,900,119450,0.3332,0.5237,0.9925,0.3889,6.37,15.17,-8.80,1800,90000,442.26,6,6,Animal Husbandry|Coliseum|Furnace|Tannery|Toxicarium
"MaA/ShortSword/Kite/Leather [Poison, Cond+1]",Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,"Cond Field,Poison",Random,41734,57892,18917,907,119450,0.3494,0.4847,0.9924,0.4189,7.29,14.53,-7.24,1600,80000,521.67,8,9,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|Tannery|Toxicarium
"MaA/Spears/Kite/Leather [Poison, Cond+1]",Man-at-Arms,Spears,Kite Shield,Leather,,False,50,"Cond Field,Poison",Random,44812,54852,18926,860,119450,0.3752,0.4592,0.9928,0.4496,7.78,11.97,-4.20,1600,80000,560.15,8,9,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|Tannery|Toxicarium
"MaA/Longbow/Leather [Poison, Cond+1]",Man-at-Arms,,,Leather,Longbow,False,50,"Cond Field,Poison",Random,81377,28174,9029,870,119450,0.6813,0.2359,0.9927,0.7428,16.53,5.54,10.99,1600,80000,1017.21,8,6,Animal Husbandry|Carpentry|Coliseum|Fletchery|Furnace|Tannery|Toxicarium
"MaA/Daggers/Leather [Poison, Outr:once, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Outrider: once,Poison",Random,24884,53005,14622,1539,94050,0.2646,0.5636,0.9836,0.3195,5.80,16.51,-10.71,1800,90000,276.49,9,13,Animal Husbandry|Caravanery|Cipher Chamber|Coliseum|Furnace|Outrider Intercept Post|Tannery|Toxicarium
"MaA/Daggers/Leather [Poison, Rend, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Poison,Rend",Random,39801,62461,16325,863,119450,0.3332,0.5229,0.9928,0.3892,6.44,14.50,-8.06,1600,80000,497.51,7,12,Animal Husbandry|Coliseum|Furnace|MWRend|Tannery|Toxicarium
"MaA/ShortSword/Kite/Leather [Poison, Cond+1, Rend]",Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,"Cond Field,Poison,Rend",Random,41858,57785,18970,837,119450,0.3504,0.4838,0.9930,0.4201,7.34,13.89,-6.55,1400,70000,597.97,9,12,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|MWRend|Tannery|Toxicarium
"MaA/Spears/Kite/Leather [Poison, Cond+1, Rend]",Man-at-Arms,Spears,Kite Shield,Leather,,False,50,"Cond Field,Poison,Rend",Random,44871,54664,19056,859,119450,0.3756,0.4576,0.9928,0.4508,7.82,11.26,-3.44,1400,70000,641.01,9,12,Animal Husbandry|Carpentry|Coliseum|Furnace|Joinery|MWRend|Tannery|Toxicarium
"MaA/Longbow/Leather [Poison, Cond+1, Rend]",Man-at-Arms,,,Leather,Longbow,False,50,"Cond Field,Poison,Rend",Random,83594,25580,9460,816,119450,0.6998,0.2141,0.9932,0.7657,17.03,4.10,12.93,1400,70000,1194.20,9,12,Animal Husbandry|Carpentry|Coliseum|Fletchery|Furnace|MWRend|Tannery|Toxicarium
"MaA/Daggers/Leather [Poison, Outr:once, Rend, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Cond Field,Outrider: once,Poison,Rend",Random,24801,53113,14555,1581,94050,0.2637,0.5647,0.9832,0.3183,5.86,15.78,-9.92,1600,80000,310.01,10,19,Animal Husbandry|Caravanery|Cipher Chamber|Coliseum|Furnace|MWRend|Outrider Intercept Post|Tannery|Toxicarium
"MaA/Daggers/Leather [ApoHeal, Regen 5, Reroll, Cond+1]",Man-at-Arms,Daggers,,Leather,,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll",Random,59298,10623,48602,927,119450,0.4964,0.0889,0.9922,0.8481,11.82,2.01,9.80,1800,90000,658.87,6,9,Animal Husbandry|Apothecary|Coliseum|Furnace|Hospitaller|Infirmary|Tannery
"MaA/ShortSword/Kite/Leather [ApoHeal, Regen 5, Reroll, Cond+1]",Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll",Random,60456,10031,48037,926,119450,0.5061,0.0840,0.9922,0.8577,12.44,2.30,10.14,1600,80000,755.70,8,12,Animal Husbandry|Apothecary|Carpentry|Coliseum|Furnace|Hospitaller|Infirmary|Joinery|Tannery
"MaA/Spears/Kite/Leather [ApoHeal, Regen 5, Reroll, Cond+1]",Man-at-Arms,Spears,Kite Shield,Leather,,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll",Random,65487,8374,44701,888,119450,0.5482,0.0701,0.9926,0.8866,13.57,1.45,12.12,1600,80000,818.59,8,12,Animal Husbandry|Apothecary|Carpentry|Coliseum|Furnace|Hospitaller|Infirmary|Joinery|Tannery
"MaA/Longbow/Leather [ApoHeal, Regen 5, Reroll, Cond+1]",Man-at-Arms,,,Leather,Longbow,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll",Random,97698,2199,18688,865,119450,0.8179,0.0184,0.9928,0.9780,26.26,0.54,25.72,1600,80000,1221.22,8,9,Animal Husbandry|Apothecary|Carpentry|Coliseum|Fletchery|Furnace|Hospitaller|Infirmary|Tannery
"MaA/Daggers/Leather [Outr:once, Cond+1, ApoHeal, Regen 5, Reroll]",Man-at-Arms,Daggers,,Leather,,False,50,"Apothecary Heal,Cond Field,Outrider: once,Regenerate 5,Regenerate Reroll",Random,40937,9588,41947,1578,94050,0.4353,0.1019,0.9832,0.8102,10.07,2.74,7.33,1800,90000,454.86,9,19,Animal Husbandry|Apothecary|Caravanery|Cipher Chamber|Coliseum|Furnace|Hospitaller|Infirmary|Outrider Intercept Post|Tannery
"MaA/Daggers/Leather [Cond+1, ApoHeal, Rend, Regen 5, Reroll]",Man-at-Arms,Daggers,,Leather,,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll,Rend",Random,59339,10710,48461,940,119450,0.4968,0.0897,0.9921,0.8471,11.87,1.97,9.90,1600,80000,741.74,7,15,Animal Husbandry|Apothecary|Coliseum|Furnace|Hospitaller|Infirmary|MWRend|Tannery
"MaA/ShortSword/Kite/Leather [Cond+1, ApoHeal, Rend, Regen 5, Reroll]",Man-at-Arms,Short Sword,Kite Shield,Leather,,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll,Rend",Random,60441,10003,48137,869,119450,0.5060,0.0837,0.9927,0.8580,12.43,2.21,10.22,1400,70000,863.44,9,15,Animal Husbandry|Apothecary|Carpentry|Coliseum|Furnace|Hospitaller|Infirmary|Joinery|MWRend|Tannery
"MaA/Spears/Kite/Leather [Cond+1, ApoHeal, Rend, Regen 5, Reroll]",Man-at-Arms,Spears,Kite Shield,Leather,,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll,Rend",Random,65739,8281,44551,879,119450,0.5503,0.0693,0.9926,0.8881,13.66,1.36,12.30,1400,70000,939.13,9,15,Animal Husbandry|Apothecary|Carpentry|Coliseum|Furnace|Hospitaller|Infirmary|Joinery|MWRend|Tannery
"MaA/Longbow/Leather [Cond+1, ApoHeal, Rend, Regen 5, Reroll]",Man-at-Arms,,,Leather,Longbow,False,50,"Apothecary Heal,Cond Field,Regenerate 5,Regenerate Reroll,Rend",Random,101915,1456,15222,857,119450,0.8532,0.0122,0.9928,0.9859,27.40,0.41,26.98,1400,70000,1455.93,9,15,Animal Husbandry|Apothecary|Carpentry|Coliseum|Fletchery|Furnace|Hospitaller|Infirmary|MWRend|Tannery
