-1 to Strike | Attackers Striking this shield-bearer take -1 to the Strike roll.
Storehouse | Pursuit (Craft). Innate: Doubt +2, +600 / Mastery: Build Timer −2
Strained | -1 Initiative every Skirmish (negated by Immune Strain).
Strike | A landed hit. Roll a D6, apply modifiers to the roll, and Strike on a result >= the to-Strike number. The target may then Parry, Save, and Recover.
strong factions | See 'high strength factions'.
Studium Generale | Pursuit (Monument). Innate: +1 Influence per Established Standing / Mastery: May gain one Sovereign Domain effect without spending the Domain Points
Summer / Season (Campaigning). All Armies gain Speed +3; all Armies gain Strained.
Supply Depot | Pursuit (Civic). Innate: May Muster an Army in a Settlement under Siege / Mastery: Craft +2
Support X | Spend X Influence to increase an Envoy's net Influence.
Suzerain | The player who has Vassalized another; the vassal mirrors their Treaties.
Tactic | A choice both players make secretly and reveal together each Skirmish; it can shift Initiative and Strike rolls.
Tannery | Pursuit (Craft). Innate: Unlocks Leather Armor / Mastery: Upkeep -200; Craft +1
Territory | 1 Hex.
The Ancient Wilds / Faction (Medium difficulty, High strength, Oathkeepers). Highlander Way: Enemy armies gain Speed −1 in your Controlled Territory. You ignore all Terrain Speed modifiers and may trade without Dirt Roads. You must accept the first Non-Aggression Pact offered by each player or Alliance. If that player later joins an alliance, this condition is considered satisfied for that Alliance.
The Ashen Vale / Faction (High difficulty, Low strength, Sickly). Pestilence: Each bordering player gains Doubt +1, your settlements gain Reach +1, and all Retinues gain Poison. You may not Pursue an Apothecary, Infirmary, or Hospitaller.
The Bandit King / Faction (Low difficulty, Low strength, Scrappy). Friends in Low Places: You begin the game with a Smuggler's Nook which does not occupy a Settlement ward, nor cost upkeep. You always gain its Mastery Effect, which cannot be deactivated. In addition, you may control one Bandit Camp outside your territory each turn. Every turn a Bandit Camp is generated, you may place it in your Outlaw Country instead.
The Battering Ram / Faction (Low difficulty, Medium strength, Offensive, Arrogant). Siege Specialist: You begin the game with a Siege Works (no ward, no upkeep, always active Mastery). If a player builds a Citadel, you must Siege it as a Personal Win Condition.
The Blazing Standard / Faction (Medium difficulty, High strength, Crusader Feel). Burning Cross: You begin the game with a Preceptory of the Knight's Templar (no ward, no upkeep, always active Mastery). If you Declared War via Crusade, that player must take a Shaken Test at the beginning of every Battle. If during the Prowess Envoy phase you do not have an army with 50 Knight's Templars, you must attempt to send an envoy. If it passes, you must muster an army until it has 50 retinues of Knight's Templar.
The Bloodied Cross / Faction (Medium difficulty, High strength, Holy War Without End). Prophets of War: May Crusade at Rising Piety instead of Sovereign Piety, and do not have a cap on how many Crusades you may have active. All players receive Doubt +1 per Crusade you are on. You cannot Convert.
The Boundless Steppe / Faction (Low difficulty, Medium strength, Fast). Horsemasters: Begin the game with a Stable which does not occupy a Settlement ward, cost Upkeep, and counts as an activated Mastery Effect which cannot be deactivated.
The Broken Banner / Faction (High difficulty, Low strength, Always for Sale). The Highest Bidder: You cannot Declare War and cannot be the Target of a Declare War action. However you must sign any Military or Defensive Alliance offered to you by the highest bidding player each turn and must be paid each turn. In order to overturn an existing Alliance, the player must pay a higher amount than the prior agreement. You cannot sign or end alliances via a Diplomacy action.
The Crimson Tide / Faction (Low difficulty, Medium strength, Pirate Life). Sea Lanes: Other players cannot Perform Intercept Caravan on you. You begin the game with a Shipyard that does not occupy a Settlement ward, does not cost upkeep, and always has the Mastery Effect, even if you do not have a Water Settlement.
The Crowned Star / Faction (Low difficulty, Medium strength, Sovereign Voice). The Monarch: Each Turn, you choose each Council Envoy's Domain. All Envoys you send gain Influence -1.
The Dukedom / Faction (High difficulty, High strength, King of the Castle). The Great Arbiter: The Duke begins the game trading with all players under a Non-Aggression Pact. The Duke cannot join alliances, perform Cunning actions, or Declare War. If a player declares war on the Duke, that player's Trade Agreements, Non-Aggression Pacts, and Defensive Alliances are immediately and permanently voided. Their Military Alliance remains intact. All other players simultaneously declare war on that player and their Military Alliance. These cannot be reinstated while at war with the Duke. The Duke sees all private actions, resolves player actions, and manages Bandit Mechanics. If the Duke is eliminated, the game ends. The Duke may optionally choose a faction.
The Elder Grove / Faction (Low difficulty, Medium strength, Cautious Quickfighters). Wise & Suspicious: Gain Doubt +1; If Public Order is 1+, armies gain Nimble, Steady, and Speed +1. Cannot be a member of an alliance.
The Entwined Crown / Faction (Low difficulty, Medium strength, Diplomatic, Inescapable). Royal Marriage: Once per game, you may Join an Alliance without unanimous consent, or Form an Alliance with a player who is not in one. Whoever is in that Alliance gains Faith +1 and +1 Influence per turn.
The Eternal Court / Faction (Low difficulty, Medium strength, Patient & Reserved). Patient Court: Your influence is never wasted — unspent influence is not discarded in the Rest Phase. Once the Era is Zenith, you have a cap of 5 on influence you spend per envoy, regardless of your Domain Standing.
The Final Word / Faction (Low difficulty, Medium strength, Cold Steel). The Decider: Ignore the Innate Doubt & Influence Modifiers that are triggered for being at War.
The Forked Tongue / Faction (High difficulty, High strength, Two-Faced). Masters of Duplicity: You may hold any number of treaties simultaneously with any number of players, regardless of contradiction. Your treaties are never automatically canceled or voided by game events. When a situation arises that would normally force a treaty to be canceled, you may choose which obligation to honor, keeping all other treaties intact. Other players may still end their treaties with you via the End Treaty action.
The Gilded Crescent / Faction (Low difficulty, Medium strength, Egalitarian). Prosperity For All: Begin the game with an Inn which does not occupy a Settlement ward, cost Upkeep, and counts as an activated Mastery Effect which cannot be deactivated. You always gain trade income on the turn trade is initiated or ended, regardless of who started and who broke the trade agreement.
The Gilded Path / Faction (Low difficulty, Low strength, Rich Trader). Silk Road: You begin the game with an Artisan Workshop (no ward, no upkeep, always active Mastery). However, you cannot refuse a Trade Agreement.
The Grand Compact / Faction (Medium difficulty, Medium strength, Peace Through Trade). Mercantile Pact: If anyone Declares War on you, players with Trade Agreements with you must Declare War back or End Trade Agreement.
The Grand Exchange | Wonder. Upkeep 200 (per Wonder). Whenever you generate Trade Income you generate twice as much for yourself.
The Great Basilica | Wonder. Upkeep 200 (per Wonder). If your Public Order would ever be less than 5 set it to 5 instead. Your Settlements gain Reach +1.
The Hall of Masks / Faction (High difficulty, High strength, Shifting Identity). Mimic: At the beginning of every player's turn, pick another player's Faction. You gain that Faction for this turn. Next turn, you cannot select that Faction.
The Hermit Crown / Faction (Low difficulty, Low strength, Independent). Independent, but Ambitious: You Abstain every Vote on other players' Envoys, and other players must use 2 Influence to affect your Envoys by 1. Gain Influence +1 to all Personal Envoys.
The Illuminated Order / Faction (Low difficulty, Medium strength, Knowledge is Power). Knowledge is Power: For every 2 Pursuits, gain +1 Influence each turn.
The Inner Circle / Faction (Medium difficulty, Medium strength, Strength Through Diplomacy). Palatine: Players who are allied with you gain Influence +1 to their envoys, but you may spend 1 of their Influence each turn.
The Iron Faith / Faction (Low difficulty, Medium strength, Piously Resolute). Fortress of Faith: While Public Order is greater than or equal to 3, Lay Siege actions targeting Settlements you Control have Siege Timer +2.
The Iron Shore / Faction (Low difficulty, Medium strength, Scavenger). Scavengers: Whether you Win or Lose a Battle, collect the Spoils of War. You may also Recoup the Cost of the Retinues received as Casualties in that Battle. Lastly, whenever you perform the Repair action, recoup its cost, even if it only passed.
The Iron Throne / Faction (Low difficulty, Medium strength, Defensive, Impenetrable). Unimpeachable: Begin the game with a Citadel (no ward, no upkeep, always active Mastery). You (or your alliance) cannot perform Declare War or Crusade.
The Luminous Court / Faction (Medium difficulty, Medium strength, Civic Soft Power). Arts & Humanities / Hearts & Minds: Cannot Pursue Craft Pursuits. Civic Pursuits gain as Craft +1. All Civic Pursuits do not cost Upkeep. This Player must accept a Peace Treaty if offered one.
The Merchant Republics / Faction (Low difficulty, High strength, Trade Dependent). Heart of Trade: Begin the game with Stone Roads infrastructure, do not pay Upkeep, and cannot be Razed. In order for any player to be able to trade, they must trade with this player first, unless at War with this player. As soon as another player is eligible, you must attempt to Sign a Trade Agreement once with that player. You may not perform the End Treaty Diplomacy action.
The Pale Throne / Faction (Medium difficulty, Low strength, Undead). Inexorable: Your armies always have Unwieldy and cannot gain Immune Unwieldy, Recover, Speed −1, and Immune Panic. Your Public Order cannot exceed 1.
The Sacred Throne / Faction (Low difficulty, High strength, Pure and Defensive). Sacrosanct: Players who declare war on you (and their allies) gain an additional Doubt +1.
The Smoldering Crown / Faction (High difficulty, Medium strength, Aggressive, Destructive). Reckless: Gain Influence +2 to all Cunning Envoys when targeting a Player with PO > 0. You begin the game with a Secret Cellar (no ward, no upkeep, always active Mastery). Cannot be in an alliance. Cannot Perform Diplomacy actions. If you Send a Prowess Envoy, it cannot Fail — if Condemned, it Passes but still gains Blocked.
The Squatters' Crown / Faction (High difficulty, Medium strength, Mobile Occupier). Occupy: You start the game with an additional army. All must begin the game placed inside your settlements. You do not control your settlements when you leave them. To collect taxes or use Pursuits, end your turn inside that Settlement. To Occupy a Settlement, begin a Battle adjacent to the city like a Siege — instead, you Battle against the Garrison and Armies at war with you or owned by the same owner. If you win (or there is no force to fight), move inside. In the Upkeep Phase, only pay upkeep on equipment. You count as having all Infrastructure of Occupied Settlements and always count as 3 Trading Pursuits. When you leave a Settlement, you may not re-enter it until you Occupy another Settlement and a Trade Agreement is signed.
The Sublime Gate / Faction (Medium difficulty, Medium strength, Mercantile Military). Integrated Arms: You may Muster Retinues and Equipment from your Trade Partners' Pursuits (and Mastery Effects, if active) for their Cost.
The Tunnellers / Faction (Low difficulty, Low strength, Mountain Passers). Tunnellers: You treat Mountain Territory like Grasslands for purposes of movement, and begin the game with a Mine Raw Pursuit (no ward, no upkeep, always active Mastery).
The Undying Flame / Faction (Low difficulty, Low strength, Unconvinced). Martyrdom: Your Armies gain Immune Panic, but your armies continue to suffer −1 To Hit from Fatigue Tokens. Gain Faith +1 for every player you're at War with and every Battle where you lose 20 or more Retinues, win or loss.
The Velvet Hand / Faction (Medium difficulty, Medium strength, Generous Sponsor). Friends in High Places: At the beginning of the turn, players gain Faith +1 if they Supported an Envoy you Sent and it was Passed. And, if it was Endorsed, they Extort 500 gold per Era.
The Verdant Kingdom / Faction (Low difficulty, High strength, Pure Economy). Peaceful & Inventive: You cannot declare war, enter Military Alliances, perform Cunning actions, or build Pursuits that require Prowess or Cunning Standing. In the Income step, gain 100 gold for each Craft Mastery Effect you have active.
The Wandering Crown / Faction (High difficulty, Medium strength, Nomads). Wandering Nomads: Your armies function as settlements, classified as a Band, Tribe, or Horde and upgraded accordingly. You may have one additional army per Era, starting with two. Armies do not require troops to exist and cannot be besieged. Nomads cannot build infrastructure but may build pursuits. Raw Material pursuits within Reach are always considered active and do not take a settlement ward. Each army is considered to have a Muster Field. You may trade so long as your border touches another player's border. Armies count as settlements with a Reach of 3. When an army is destroyed, so is its settlement. You may begin a new army adjacent to any existing army by using either the Charter Settlement or Muster Army actions. Nomads do not pay any upkeep.
The Winter Wolves / Faction (Low difficulty, Medium strength, Aggressive, Parasitic). Danegeld: Your Armies do not pay Upkeep in enemy territory when you're at war — the enemy player pays the Upkeep instead. Do not gain Speed −1 in Winter.
The Yew Heart / Faction (Low difficulty, Medium strength, Skilled Volleys). Archery is a Way of Life: You begin the game with a Fletchery which does not occupy a Settlement ward, nor cost upkeep. You always gain its Mastery Effect, which cannot be deactivated. In addition, your armies must always be equipped with a ranged weapon. Ranged Weapons gain +1 to Hit. Cannot be equipped with plate or articulated gothic plate. Cannot use shields. Cannot build a Preceptory of Knight's Templar.
Thieves' Guild | Pursuit (Monument). Innate: Whenever another player performs a Cunning action, you may recoup 1000 gold / Mastery: Extort 25% of Trade Income from players who don't trade with you
tiers | 1.Cr Crude (start) -> 2.Ca Cast (Furnace) -> 3.W Wrought (Blacksmith) -> 4.F Forged (Forge) -> 5.Cf Crafted (ABF).
Tiltyard | Pursuit (Power). Innate: Armies may be Equipped with a Ranged and Melee Weapon; all weapons gain Unwieldy when equipped with both / Mastery: Armies gain Immune Unwieldy
to-Strike number | The D6 result a retinue needs to Strike (see the retinue table; lower is better). Bonuses add to the roll; penalties and Fatigue tokens subtract.
Toll House | Pursuit (Civic). Innate: Once/turn when a non-allied Army ends a Move action within Province: Perform a Diplomacy action / Mastery: Extort 500 when non-Allied Army ends a Move action within Province
Tower Shield | Shield (Forged). Save +2, Init -1. Keywords: -1 to Strike, Unwieldy.
Town / Settlement (tier 2). Tax 4000, muster 25, build 2, wards 2, reach 2. 
Town Hall | Infrastructure (Developed). Upkeep 50 (per Settlement), build 3. +1 Influence per turn
Toxicarium | Pursuit (Secrecy). Innate: Weapons have Poison / Mastery: All Endorsed Cunning actions give an additional Doubt +1 to Target and Extort 1000
trade | Income = 100 x Craft x partners x 0.75. No trade in Spring. Tax only in Winter. Requires bordering, Dirt Road, and a Trade Agreement.
Trade Guild | Pursuit (Civic). Innate: No Upkeep on Primitive Infrastructure / Mastery: No Upkeep on Developed Infrastructure
Treaty | A standing agreement between players (e.g. Trade Agreement, Non-Aggression, Alliance) signed via Diplomacy.
turn order | See 'turn structure'.
turn structure | Each turn players take actions (Host, Trade, Council, Nobility, Pursuit) resolved via the influence vote; seasons cycle Winter->Spring->Summer->Fall.
Unbreakable | Immune Break: does not take Break checks while Fatigued.
Uncontrolled | Territory that is not within Reach of any Player Settlement.
University | Pursuit (Power). Innate: May spend one additional Influence per Support or Oppose / Mastery: +1 Influence per Domain you are Rising
Unstoppable | Ignore the target shield's -1 to Strike; the target's Parry is -1 against you.
Unwieldy | Initiative cannot be improved by Tactics.
Vassal | A player subordinated via Vassalization: their chartered settlements return to them, they mirror the Suzerain's Treaties, count as allied to the Suzerain, and cannot perform or be targeted by Diplomacy actions.
vassalize | Win path (Edict): force other players into vassalage. See Vassalization rules.
version | Renown v0.4.8.2.1.
victory | See 'how to win' / 'edicts'.
Village / Settlement (tier 1). Tax 2000, muster 10, build 1, wards 1, reach 1. 
Vineyard | Pursuit (Husbandry). Innate: Natural / Mastery: +600 in Fall
Vote | On each Envoy, every player in clockwise order from the starting player must Support, Oppose, or Abstain.
War College | Pursuit (Power). Innate: Gain +2 Influence while At War / Mastery: Unlocks Sergeants for Muster
War Hammer | Melee weapon (Forged). AP -8, Init -1. Keywords: Unwieldy, Destroy Shield, Unstoppable, 2H, Deadly.
weak factions | See 'low strength factions'.
Weavery | Pursuit (Craft). Innate: +300 / Mastery: +300; Craft +2
win | See 'how to win'. Win paths are Edicts: Sovereign Standing, Monument, Wonder, wealth, Vassalize, Living Saints, Last Standing.
Winery | Pursuit (Craft). Innate: +400 / Mastery: Craft +3
Winter / Season (Freezing). All Armies gain Speed -1; Sieges do not increment. Tax income collected.
within | Range 0.
wonders | Grand build projects: Colossus, The Grand Exchange, The Great Basilica, High Chancery. Each grants a powerful empire bonus; completing one scores its Edict.
Wooden Shield | Shield (Crude). Save +1, Init -1. Keywords: Unwieldy.
Wooden Walls | Infrastructure (Primitive). Upkeep 50 (per Settlement), build 2. Influence -1 to Raze actions targeting your settlements
Workyard | Pursuit (Craft). Innate: Doubt +1, +400 / Mastery: +400
Zenith / Era. Renown 30, armies 4, cities 3, influence/turn 4, envoys: Send 2 Personal Envoys per turn. Unlocks: May form Defensive Alliances
